scientific_name,family,establishment_means,year,record type,category,latitude,longitude
Tanacetum vulgare,Asteraceae,introduced,1966,voucher,long unseen,-34.22,151
Tropaeolum majus,Tropaeolaceae,introduced,1975,voucher,long unseen,-34.07,151.07
Vicia sativa,Fabaceae,introduced,1975,voucher,long unseen,-34.07,151.02
Vicia tetrasperma,Fabaceae,introduced,1966,voucher,long unseen,-34.12,151
Xanthium strumarium,Asteraceae,introduced,1975,voucher,long unseen,-34.17092,151.052982
Abrophyllum ornans,Rousseaceae,native,1978,voucher,long unseen,-34.123056,151.0475
Acacia baueri,Fabaceae,native,1972,voucher,long unseen,-34.081757,151.084494
Acacia elata,Fabaceae,native,1952,voucher,long unseen,-34.133333,151
Acacia maidenii,Fabaceae,native,1897,voucher,long unseen,-34.1,151.05
Acacia obtusifolia,Fabaceae,native,1960,voucher,long unseen,-34.075,151.02
Acacia schinoides,Fabaceae,native,1975,voucher,long unseen,-34.1,151.1
Acianthus exsertus,Orchidaceae,native,1971,voucher,long unseen,-34.065091,151.051161
Acronychia oblongifolia,Rutaceae,native,1982,voucher,long unseen,-34.144234,151.030873
Adiantum silvaticum,Pteridaceae,native,1904,voucher,long unseen,-34.07,151.07
Ajuga australis,Lamiaceae,native,1897,voucher,long unseen,-34.22,151
Alectryon subcinereus,Sapindaceae,native,1956,voucher,long unseen,-34.116667,151.033333
Almaleea paludosa,Fabaceae,native,1981,voucher,long unseen,-34.0956,151.0872
Alternanthera denticulata,Amaranthaceae,native,1975,voucher,long unseen,-34.07,151.07
Amyema pendula,Loranthaceae,native,1888,voucher,long unseen,-34.12,151
Amylotheca dictyophleba,Loranthaceae,native,1978,voucher,long unseen,-34.2,151.02
Aneilema biflorum,Commelinaceae,native,1977,voucher,long unseen,-34.15,151.03
Apium prostratum,Apiaceae,native,1947,voucher,long unseen,-34.116667,151.033333
Arrhenechthites mixtus,Asteraceae,native,1983,voucher,long unseen,-34.081667,151.167778
Arthropteris tenella,Tectariaceae,native,1964,voucher,long unseen,-34.148111,151.035222
Asplenium polyodon,Aspleniaceae,native,1927,voucher,long unseen,-34.133333,151
Astrotricha crassifolia,Araliaceae,native,1950,voucher,long unseen,-34.131758,151.034495
Austrostipa pubescens,Poaceae,native,1889,voucher,long unseen,-34.17,151.03
Backhousia leptopetala,Myrtaceae,native,1960,voucher,long unseen,-34.116667,151.033333
Bacopa monnieri,Plantaginaceae,native,1975,voucher,long unseen,-34.12,151.13
Baeckea diosmifolia,Myrtaceae,native,1987,voucher,long unseen,-34.15,151.02
Baloskion tetraphyllum,Restionaceae,native,1989,voucher,long unseen,-34.08,151.12
Banksia paludosa,Proteaceae,native,1977,voucher,long unseen,-34.1297,150.9983
Bertya pomaderroides,Euphorbiaceae,native,1966,voucher,long unseen,-34.0767,151.0433
Boronia barkeriana,Rutaceae,native,1908,voucher,long unseen,-34.13,151
Bossiaea obcordata,Fabaceae,native,1964,voucher,long unseen,-34.07,151.07
Bossiaea rhombifolia,Fabaceae,native,1915,voucher,long unseen,-34.07,151.02
Bothriochloa decipiens,Poaceae,native,1987,voucher,long unseen,-34.075184,151.054686
Caladenia tessellata,Orchidaceae,native,1955,voucher,long unseen,-34.1,151.1
Calamagrostis quadriseta,Poaceae,native,1973,voucher,long unseen,-34.104,151.137883
Callitris muelleri,Cupressaceae,native,1986,voucher,long unseen,-34.101352,151.113704
Calomeria amaranthoides ,Asteraceae,native,1910,voucher,long unseen,-34.07,151.07
Carex appressa,Cyperaceae,native,1894,voucher,long unseen,-34.22,151
Carex breviculmis,Cyperaceae,native,1911,voucher,long unseen,-34.22,151
Carex brunnea,Cyperaceae,native,1977,voucher,long unseen,-34.15,151.03
Carex declinata,Cyperaceae,native,1978,voucher,long unseen,-34.2,151.02
Carex pumila,Cyperaceae,native,1897,voucher,long unseen,-34.22,151
Cassinia aculeata,Asteraceae,native,1896,voucher,long unseen,-34.131758,151.001163
Cassinia longifolia,Asteraceae,native,1965,voucher,long unseen,-34.15,151.03
Cassinia trinerva,Asteraceae,native,1984,voucher,long unseen,-34.100114,151.049997
Cassytha melantha,Lauraceae,native,1895,voucher,long unseen,-34.07,151.07
Cassytha paniculata,Lauraceae,native,1974,voucher,long unseen,-34.07,151.07
Celastrus subspicatus,Celastraceae,native,1982,voucher,long unseen,-34.187715,151.043426
Cenchrus caliculatus,Poaceae,native,1973,voucher,long unseen,-34.07,151.08
Centella asiatica,Apiaceae,native,1986,voucher,long unseen,-34.2167,151.0083
Centrolepis fascicularis,Restionaceae,native,1971,voucher,long unseen,-34.12,151.07
Ceodes umbellifera,Nyctaginaceae,native,1978,voucher,long unseen,-34.183333,151.033333
Cheilanthes distans,Pteridaceae,native,1951,voucher,long unseen,-34.1,151.066667
Chenopodium trigonon,Amaranthaceae,native,1978,voucher,long unseen,-34.2,151.02
Chiloglottis reflexa,Orchidaceae,native,1969,voucher,long unseen,-34.065091,151.051161
Choretrum candollei,Santalaceae,native,1973,voucher,long unseen,-34.15,151.02
Chorizandra cymbaria,Cyperaceae,native,1983,voucher,long unseen,-34.081667,151.167778
Chorizandra sphaerocephala,Cyperaceae,native,1983,voucher,long unseen,-34.081667,151.167778
Citronella moorei,Cardiopteridaceae,native,1982,voucher,long unseen,-34.15,151.05
Cladium procerum,Cyperaceae,native,1975,voucher,long unseen,-34.12,151.13
Clematis glycinoides,Ranunculaceae,native,1970,voucher,long unseen,-34.166667,151.066667
Commersonia dasyphylla,Malvaceae,native,1975,voucher,long unseen,-34.17,151.07
Coopernookia barbata,Goodeniaceae,native,1891,voucher,long unseen,-34.22,151
Coronidium gunnianum,Asteraceae,native,1933,voucher,long unseen,-34.12,151
Corybas hispidus,Orchidaceae,native,1948,voucher,long unseen,-34.081757,151.084494
Crassula sieberiana,Crassulaceae,native,1946,voucher,long unseen,-34.15,151.02
Cryptocarya microneura,Lauraceae,native,1982,voucher,long unseen,-34.136131,151.031603
Cyanothamnus rigens,Rutaceae,native,1901,voucher,long unseen,-34.08,151.02
Cyclophyllum longipetalum,Rubiaceae,native,1986,voucher,long unseen,-34.2167,151.0083
Cycnogeton rheophilum,Juncaginaceae,native,1893,voucher,long unseen,-34.0667,151.0833
Cyperus cyperoides,Cyperaceae,native,1978,voucher,long unseen,-34.2,151.02
Cyperus gracilis,Cyperaceae,native,1978,voucher,long unseen,-34.2,151.02
Cyperus imbecillis,Cyperaceae,native,1977,voucher,long unseen,-34.15,151.03
Cyperus laevis,Cyperaceae,native,1975,voucher,long unseen,-34.15,151.03
Cyperus mirus,Cyperaceae,native,1975,voucher,long unseen,-34.15,151.03
Cyperus polystachyos,Cyperaceae,native,1975,voucher,long unseen,-34.12,151
Cyperus sanguinolentus,Cyperaceae,native,1975,voucher,long unseen,-34.17,151.05
Cyperus sphaeroideus,Cyperaceae,native,1975,voucher,long unseen,-34.171098,151.052929
Cyperus trinervis,Cyperaceae,native,1977,voucher,long unseen,-34.15,151.03
Cyrtostylis reniformis,Orchidaceae,native,1976,voucher,long unseen,-34.081757,151.10116
Davallia solida,Davalliaceae,native,1964,voucher,long unseen,-34.114167,151.046111
Deeringia amaranthoides,Amaranthaceae,native,1983,voucher,long unseen,-34.187715,151.043426
Dendrocnide excelsa,Urticaceae,native,1978,voucher,long unseen,-34.18,151.03
Dennstaedtia davallioides,Dennstaedtiaceae,native,1946,voucher,long unseen,-34.12,151
Dicranopteris linearis,Gleicheniaceae,native,1973,voucher,long unseen,-34.05,151.066667
Dictymia brownii,Polypodiaceae,native,1905,voucher,long unseen,-34.22,151
Digitaria parviflora,Poaceae,native,1931,voucher,long unseen,-34.07,151.07
Dillwynia glaberrima,Fabaceae,native,1975,voucher,long unseen,-34.1,151.1
Dillwynia sericea,Fabaceae,native,1932,voucher,long unseen,-34.081757,151.084494
Dillwynia trichopoda,Fabaceae,native,1964,voucher,long unseen,-34.13,151.07
Diplazium australe,Athyriaceae,native,1984,voucher,long unseen,-34.100114,151.049997
Dodonaea camfieldii,Sapindaceae,native,1966,voucher,long unseen,-34.12,151.02
Drosera hookeri,Droseraceae,native,1981,voucher,long unseen,-34.12,151.02
Eclipta platyglossa,Asteraceae,native,1975,voucher,long unseen,-34.18,151.05
Eleocharis gracilis,Cyperaceae,native,1975,voucher,long unseen,-34.07,151.05
Eleocharis sphacelata,Cyperaceae,native,1983,voucher,long unseen,-34.081667,151.167778
Endiandra sieberi,Lauraceae,native,1985,voucher,long unseen,-34.18,151.05
Entolasia whiteana,Poaceae,native,1973,voucher,long unseen,-34.07,151.08
Epacris purpurascens,Ericaceae,native,1921,voucher,long unseen,-34.081757,151.084494
Epilobium hirtigerum,Onagraceae,native,1969,voucher,long unseen,-34.07,151.05
Eragrostis trachycarpa,Poaceae,native,1928,voucher,long unseen,-34.0667,151.0167
Eriachne glabrata,Poaceae,native,1978,voucher,long unseen,-34.15,151.05
Eriocaulon scariosum,Eriocaulaceae,native,1973,voucher,long unseen,-34.052919,151.067008
Eucalyptus apiculata,Myrtaceae,native,1984,voucher,long unseen,-34.100114,151.049997
Eucalyptus capitellata,Myrtaceae,native,1988,voucher,long unseen,-34.133333,151
Eucalyptus consideniana,Myrtaceae,native,1988,voucher,long unseen,-34.113144,151.060322
Eucalyptus eugenioides,Myrtaceae,native,1986,voucher,long unseen,-34.08,151.1
Eucalyptus saligna,Myrtaceae,native,1984,voucher,long unseen,-34.075184,151.054686
Eucalyptus scias,Myrtaceae,native,1985,voucher,long unseen,-34.193799,151.029179
Eucalyptus squamosa,Myrtaceae,native,1987,voucher,long unseen,-34.07,151.02
Eucalyptus tereticornis,Myrtaceae,native,1925,voucher,long unseen,-34.13,151.12
Euphrasia collina,Scrophulariaceae,native,1924,voucher,long unseen,-34.07,151.02
Eurychorda complanata,Restionaceae,native,1975,voucher,long unseen,-34.17,151.05
Ficus henneana,Moraceae,native,1985,voucher,long unseen,-34.199172,151.026883
Fimbristylis dichotoma,Cyperaceae,native,1973,voucher,long unseen,-34.13,151
Fimbristylis ferruginea,Cyperaceae,native,1975,voucher,long unseen,-34.09009,151.142826
Flagellaria indica,Flagellariaceae,native,1986,voucher,long unseen,-34.1125,151.05
Gahnia microstachya,Cyperaceae,native,1975,voucher,long unseen,-34.090091,151.059494
Gahnia radula,Cyperaceae,native,1979,voucher,long unseen,-34.1,151.08
Galinsoga parviflora,Asteraceae,introduced,1890,voucher,long unseen,-34.07,151.02
Gaudium parvifolium,Myrtaceae,native,1987,voucher,long unseen,-34.15,151.02
Genoplesium nudiscapum,Orchidaceae,native,1949,voucher,long unseen,-34.133333,151
Genoplesium woollsii,Orchidaceae,native,1956,voucher,long unseen,-34.066667,151.016667
Geranium potentilloides,Geraniaceae,native,1946,voucher,long unseen,-34.116667,151.033333
Gmelina leichhardtii,Lamiaceae,native,1987,voucher,long unseen,-34.123599,151.037315
Gonocarpus salsoloides,Haloragaceae,native,1981,voucher,long unseen,-34.094672,151.08404
Gonocarpus tetragynus,Haloragaceae,native,1967,voucher,long unseen,-34.0633,151.0572
Goodenia bellidifolia,Goodeniaceae,native,1980,voucher,long unseen,-34.1,151.066667
Goodenia caroliniana,Goodeniaceae,native,1969,voucher,long unseen,-34.07,151.07
Gratiola pubescens,Plantaginaceae,native,1965,voucher,long unseen,-34.12,151.12
Grevillea capitellata,Proteaceae,native,1975,voucher,long unseen,-34.1,151.1
Grevillea linearifolia,Proteaceae,native,1964,voucher,long unseen,-34.07,151.07
Grevillea parviflora,Proteaceae,native,1977,voucher,long unseen,-34.12,151
Grevillea patulifolia,Proteaceae,native,1888,voucher,long unseen,-34.12,151
Gymnoschoenus sphaerocephalus,Cyperaceae,native,1975,voucher,long unseen,-34.16509,151.084495
Halophila decipiens,Hydrocharitaceae,native,1974,voucher,long unseen,-34.083333,151.116667
Halophila ovalis,Hydrocharitaceae,native,1974,voucher,long unseen,-34.081411,151.104056
Hemarthria uncinata,Poaceae,native,1902,voucher,long unseen,-34.07,151.07
Hibbertia bracteata,Dilleniaceae,native,1955,voucher,long unseen,-34.083333,151.05
Hibiscus richardsonii,Malvaceae,native,1890,voucher,long unseen,-34.22,151
Homalanthus stillingiifolius,Euphorbiaceae,native,1969,voucher,long unseen,-34.08,151.08
Hovea longifolia,Fabaceae,native,1936,voucher,long unseen,-34.116667,151.05
Hydrocotyle acutiloba,Araliaceae,native,1968,voucher,long unseen,-34.07,151.02
Hypolepis glandulifera,Dennstaedtiaceae,native,1966,voucher,long unseen,-34.22,151
Isolepis fluitans,Cyperaceae,native,1905,voucher,long unseen,-34.07,151.05
Jacksonia scoparia,Fabaceae,native,1899,voucher,long unseen,-34.07,151.02
Juncus bufonius,Juncaceae,native,1895,voucher,long unseen,-34.137453,150.99869
Juncus continuus,Juncaceae,native,1975,voucher,long unseen,-34.15,151.03
Juncus homalocaulis,Juncaceae,native,1975,voucher,long unseen,-34.15,151.03
Juncus pallidus,Juncaceae,native,1975,voucher,long unseen,-34.08,151.07
Juncus prismatocarpus,Juncaceae,native,1975,voucher,long unseen,-34.17,151.05
Juncus remotiflorus,Juncaceae,native,1975,voucher,long unseen,-34.07,151.03
Juncus subsecundus,Juncaceae,native,1975,voucher,long unseen,-34.13,151
Juncus usitatus,Juncaceae,native,1975,voucher,long unseen,-34.17,151.05
Juncus vaginatus,Juncaceae,native,1896,voucher,long unseen,-34.12,151
Lastreopsis decomposita,Dryopteridaceae,native,1966,voucher,long unseen,-34.22,151
Laxmannia gracilis,Asparagaceae,native,1892,voucher,long unseen,-34.12,151
Legnephora moorei,Menispermaceae,native,1978,voucher,long unseen,-34.18,151.03
Leichhardtia flavescens,Apocynaceae,native,1960,voucher,long unseen,-34.116667,151.033333
Lepidium pseudotasmanicum,Brassicaceae,native,1899,voucher,long unseen,-34.22,151
Lepidosperma flexuosum,Cyperaceae,native,1973,voucher,long unseen,-34.090091,151.026162
Lepidosperma longitudinale,Cyperaceae,native,1951,voucher,long unseen,-34.1,151.1
Lepidosperma quadrangulatum,Cyperaceae,native,1973,voucher,long unseen,-34.056745,151.052753
Lepidosperma urophorum,Cyperaceae,native,1977,voucher,long unseen,-34.17,151.02
Leptinella longipes,Asteraceae,native,1975,voucher,long unseen,-34.18,151.05
Leptospermum continentale,Myrtaceae,native,1986,voucher,long unseen,-34.0833,151.0708
Leptospermum juniperinum,Myrtaceae,native,1985,voucher,long unseen,-34.08,151.07
Leptospermum morrisonii,Myrtaceae,native,1898,voucher,long unseen,-34.0767,151.0433
Lepyrodia anarthria,Restionaceae,native,1975,voucher,long unseen,-34.12,151.03
Lepyrodia verruculosa,Restionaceae,native,1986,voucher,long unseen,-34.1,151.116667
Leucopogon virgatus,Ericaceae,native,1983,voucher,long unseen,-34.081667,151.167778
Litsea reticulata,Lauraceae,native,1985,voucher,long unseen,-34.205359,151.019143
Lobelia gibbosa,Campanulaceae,native,1889,voucher,long unseen,-34.07,151.07
Lobelia simplicicaulis,Campanulaceae,native,1894,voucher,long unseen,-34.07,151.02
Lomandra brevis,Asparagaceae,native,1986,voucher,long unseen,-34.1167,151.0667
Lomandra fluviatilis,Asparagaceae,native,1978,voucher,long unseen,-34.13,151
Lomandra gracilis,Asparagaceae,native,1978,voucher,long unseen,-34.07,151.05
Lomandra micrantha,Asparagaceae,native,1969,voucher,long unseen,-34.12,151.02
Luzula flaccida,Juncaceae,native,1960,voucher,long unseen,-34.1,151.066667
Machaerina arthrophylla ,Cyperaceae,native,1976,voucher,long unseen,-34.08,151.17
Machaerina articulata,Cyperaceae,native,1983,voucher,long unseen,-34.081667,151.167778
Machaerina gunnii,Cyperaceae,native,1975,voucher,long unseen,-34.106756,151.142827
Machaerina nuda ,Cyperaceae,native,1975,voucher,long unseen,-34.07,151.03
Machaerina rubiginosa,Cyperaceae,native,1975,voucher,long unseen,-34.1,151.13
Melaleuca squarrosa,Myrtaceae,native,1961,voucher,long unseen,-34.1,151.07
Melicytus dentatus,Violaceae,native,1888,voucher,long unseen,-34.07,151.1
Melodinus australis,Apocynaceae,native,1968,voucher,long unseen,-34.13,151.07
Micromyrtus ciliata,Myrtaceae,native,1923,voucher,long unseen,-34.07,151.02
Microsorum pustulatum,Polypodiaceae,native,1942,voucher,long unseen,-34.13,151
Mitrasacme paludosa,Loganiaceae,native,1973,voucher,long unseen,-34.090579,151.123956
Monotaxis linifolia,Euphorbiaceae,native,1986,voucher,long unseen,-34.1417,151.07
Muehlenbeckia gracillima,Polygonaceae,native,1898,voucher,long unseen,-34.22,151
Myoporum acuminatum,Scrophulariaceae,native,1893,voucher,long unseen,-34.22,151
Myriophyllum gracile,Haloragaceae,native,,voucher,long unseen,-34.07,151.07
Myriophyllum variifolium,Haloragaceae,native,1958,voucher,long unseen,-34.07,151.05
Netrostylis capillaris,Cyperaceae,native,1978,voucher,long unseen,-34.125,151.025
Nicotiana forsteri,Solanaceae,native,1978,voucher,long unseen,-34.18,151.03
Notogrammitis billardierei,Polypodiaceae,native,1953,voucher,long unseen,-34.15,151.016667
Notothixos subaureus,Santalaceae,native,1960,voucher,long unseen,-34.1,151.066667
Opercularia aspera,Rubiaceae,native,1971,voucher,long unseen,-34.133333,151.083333
Opercularia hispida,Rubiaceae,native,1973,voucher,long unseen,-34.07,151.07
Opercularia varia,Rubiaceae,native,1973,voucher,long unseen,-34.1,151
Ophioglossum lusitanicum,Ophioglossaceae,native,1976,voucher,long unseen,-34.08,151.08
Ozothamnus adnatus,Asteraceae,native,1975,voucher,long unseen,-34.17,151.02
Palhinhaea cernua,Lycopodiaceae,native,1953,voucher,long unseen,-34.13,151.07
Panicum simile,Poaceae,native,1957,voucher,long unseen,-34.081667,151.051111
Parapolystichum acuminatum,Dryopteridaceae,native,1966,voucher,long unseen,-34.22,151
Parapolystichum microsorum,Dryopteridaceae,native,1977,voucher,long unseen,-34.22,151
Pararchidendron pruinosum,Fabaceae,native,1985,voucher,long unseen,-34.205359,151.019143
Patersonia fragilis,Iridaceae,native,1981,voucher,long unseen,-34.08333,151.13333
Pelargonium inodorum,Geraniaceae,native,1986,voucher,long unseen,-34.2167,151.0083
Pennantia cunninghamii,Pennantiaceae,native,1899,voucher,long unseen,-34.22,151
Peperomia leptostachya ,Piperaceae,native,1984,voucher,long unseen,-34.092504,151.124738
Persicaria decipiens,Polygonaceae,native,1958,voucher,long unseen,-34.08,151.02
Persicaria hydropiper,Polygonaceae,native,1975,voucher,long unseen,-34.15,151.03
Persicaria prostrata ,Polygonaceae,native,1895,voucher,long unseen,-34.07,151.07
Persicaria strigosa,Polygonaceae,native,1975,voucher,long unseen,-34.15,151.03
Persoonia hirsuta,Proteaceae,native,1898,voucher,long unseen,-34.07,151.07
Piper hederaceum,Piperaceae,native,1978,voucher,long unseen,-34.18,151.03
Plantago hispida,Plantaginaceae,native,1971,voucher,long unseen,-34.166667,151.05
Plantago varia,Plantaginaceae,native,1971,voucher,long unseen,-34.166667,151.05
Platylobium parviflorum,Fabaceae,native,1964,voucher,long unseen,-34.07,151.07
Plinthanthesis paradoxa,Poaceae,native,1975,voucher,long unseen,-34.098333,151.117778
Poa affinis,Poaceae,native,1956,voucher,long unseen,-34.07,151.08
Poa poiformis,Poaceae,native,1982,voucher,long unseen,-34.115,151.134444
Poa tenera,Poaceae,native,1927,voucher,long unseen,-34.0667,151.0667
Podolepis jaceoides,Asteraceae,native,1897,voucher,long unseen,-34.22,151
Pollia crispata,Commelinaceae,native,1977,voucher,long unseen,-34.22,151
Polyscias elegans,Araliaceae,native,1986,voucher,long unseen,-34.2167,151.0083
Polyscias murrayi,Araliaceae,native,1956,voucher,long unseen,-34.116667,151.033333
Pomaderris andromedifolia,Rhamnaceae,native,1936,voucher,long unseen,-34.116667,151.05
Pomaderris discolor,Rhamnaceae,native,1966,voucher,long unseen,-34.15,151.0167
Pomaderris elliptica,Rhamnaceae,native,1896,voucher,long unseen,-34.081757,151.084494
Pomaderris ferruginea,Rhamnaceae,native,1942,voucher,long unseen,-34.066667,151.016667
Pomaderris intermedia,Rhamnaceae,native,1984,voucher,long unseen,-34.100114,151.049997
Pomaderris lanigera,Rhamnaceae,native,1927,voucher,long unseen,-34.066667,151.016667
Pomaderris ledifolia,Rhamnaceae,native,1928,voucher,long unseen,-34.066667,151.016667
Pomaderris ligustrina,Rhamnaceae,native,1966,voucher,long unseen,-34.07,151.02
Poranthera microphylla,Phyllanthaceae,native,1966,voucher,long unseen,-34.22,151
Posidonia australis,Posidoniaceae,native,1977,voucher,long unseen,-34.078433,151.10742
Potamogeton ochreatus,Potamogetonaceae,native,1973,voucher,long unseen,-34.08,151.05
Prasophyllum striatum,Orchidaceae,native,1969,voucher,long unseen,-34.081758,151.034495
Prostanthera lasianthos,Lamiaceae,native,1985,voucher,long unseen,-34.185833,151.043611
Prostanthera violacea,Lamiaceae,native,1948,voucher,long unseen,-34.13,151.07
Pseudognaphalium luteoalbum,Asteraceae,native,1983,voucher,long unseen,-34.081667,151.167778
Pseudoraphis paradoxa,Poaceae,native,1989,voucher,long unseen,-34.083056,151.163056
Pteris umbrosa,Pteridaceae,native,1915,voucher,long unseen,-34.166667,151.016667
Pterostylis alveata,Orchidaceae,native,1986,voucher,long unseen,-34.133333,151.066667
Pterostylis obtusa,Orchidaceae,native,1953,voucher,long unseen,-34.166667,151.05
Pultenaea dentata,Fabaceae,native,1976,voucher,long unseen,-34.08,151.17
Pultenaea hispidula,Fabaceae,native,1983,voucher,long unseen,-34.0667,151.0167
Pultenaea polifolia,Fabaceae,native,1921,voucher,long unseen,-34.07,151.07
Rhynchospora brownii,Cyperaceae,native,1975,voucher,long unseen,-34.086063,151.137681
Rorippa gigantea,Brassicaceae,native,1929,voucher,long unseen,-34.07,151.07
Rubus nebulosus,Rosaceae,native,1920,voucher,long unseen,-34.12,151.03
Rumex tenax,Polygonaceae,native,1895,voucher,long unseen,-34.07,151.07
Rytidosperma pallidum,Poaceae,native,1986,voucher,long unseen,-34.1417,151.07
Rytidosperma racemosum,Poaceae,native,1978,voucher,long unseen,-34.2,151.02
Sacciolepis indica,Poaceae,native,1976,voucher,long unseen,-34.08,151.17
Sambucus australasica,Viburnaceae,native,1978,voucher,long unseen,-34.18,151.03
Schizaea dichotoma,Schizaeaceae,native,1973,voucher,long unseen,-34.07,151.07
Schizaea rupestris,Schizaeaceae,native,1986,voucher,long unseen,-34.075184,151.054686
Schoenoplectiella mucronata,Cyperaceae,native,1975,voucher,long unseen,-34.08,151.05
Schoenus maschalinus,Cyperaceae,native,1965,voucher,long unseen,-34.12,151.12
Schoenus nitens,Cyperaceae,native,1983,voucher,long unseen,-34.081667,151.167778
Schoenus villosus,Cyperaceae,native,1973,voucher,long unseen,-34.116667,151.05
Senecio bipinnatisectus,Asteraceae,native,1984,voucher,long unseen,-34.100114,151.049997
Senecio diaschides,Asteraceae,native,1967,voucher,long unseen,-34.07,151.02
Senecio minimus,Asteraceae,native,1966,voucher,long unseen,-34.22,151
Senecio pinnatifolius,Asteraceae,native,1986,voucher,long unseen,-34.1417,151.0667
Senecio prenanthoides,Asteraceae,native,1966,voucher,long unseen,-34.22,151
Senecio vagus,Asteraceae,native,1973,voucher,long unseen,-34.15,151.03
Setaria distans,Poaceae,native,1930,voucher,long unseen,-34.081757,151.084494
Sloanea australis,Elaeocarpaceae,native,1958,voucher,long unseen,-34.116667,151.033333
Sphaeromorphaea australis,Asteraceae,native,1986,voucher,long unseen,-34.1417,151.1167
Sphaeropteris australis,Cyatheaceae,native,1976,voucher,long unseen,-34.22,151
Sporadanthus gracilis,Restionaceae,native,1986,voucher,long unseen,-34.08,151.02
Sporobolus creber,Poaceae,native,1987,voucher,long unseen,-34.07,151.03
Stackhousia monogyna,Celastraceae,native,1891,voucher,long unseen,-34.22,151
Sticherus lobatus,Gleicheniaceae,native,1975,voucher,long unseen,-34.17,151.07
Stolonochloa pygmaea,Poaceae,native,1975,voucher,long unseen,-34.171021,151.052963
Styphelia humifusa,Ericaceae,native,1954,voucher,long unseen,-34.22,151
Styphelia laeta,Ericaceae,native,1957,voucher,long unseen,-34.116667,151.033333
