species_name,last_recorded,family,sampled_year,curation_tags,taxonomy_issue,location_issue,refindable,record_link,cat_no,record_notes,record_month,record_life_stage,record_coordinates,search_area,my_notes,habitat,habit,key_traits,flowering_months,flowering_months_numeric,inat_flowering_months,fruiting_months,associated_species,search_area_coordinates,similar_species,found,date_searched_mmddyy,month_searched,people_searching,search_capability,time_searched_mins,distance_walked_metres,path_link,life_stage,fertile_material_present,individuals_found,topography,weather,search_notes,other_notes,search_tags,2025_inat_link,coordinates_found,individual_or_multiple_search,linear_or_area_search,associated_species_known,search_again,searched_in_flowering_time,possibly_found_sterile,age_of_sample_years,volunteers_seen_before,minutes_till_found,quadrat_size_m2,abundance_density
Myoporum acuminatum,1893,Scrophulariaceae,1893,,N,Y,N,https://biocache.ala.org.au/occurrences/2e1b8498-1d18-4532-af28-b59ce4cd38c8,NSW602013,Otford.,10,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,
Myriophyllum gracile,1894,Haloragaceae,1894,,N,Y,N,https://biocache.ala.org.au/occurrences/0d5c5d63-f285-44b0-836c-afd12593be49,NSW103210,[Royal] National Park.,4,sterile,,,"Last two digits of year illegible, 1984 is my best guess",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,
Lobelia simplicicaulis,1894,Campanulaceae,1894,,N,Y,N,https://biocache.ala.org.au/occurrences/90c1ab00-4ab4-4425-ae2d-d83fb8eb1537,NSW487545,Heathcote.,4,flowers,,,Northern range edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,
Carex appressa,1894,Cyperaceae,1894,,N,Y,N,https://biocache.ala.org.au/occurrences/74493dfe-7374-4a49-acc7-d988174166d2,NSW639236,Otford.,,fertile,,,"Seen in Royal in 2024, 25 by e.g. Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,
Juncus bufonius,1895,Juncaceae,1895,,N,Y,N,https://biocache.ala.org.au/occurrences/d331c63e-fc9b-49e4-bca0-7401e96a278c,NSW7070,"Waterfall, Royal National Park.",12,flowers,,,Recorded just across the Pacific Highway in Heathcote NP in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,
Cassytha melantha,1895,Lauraceae,1895,,N,Y,N,https://biocache.ala.org.au/occurrences/ed27a0a3-30ab-49a4-af13-93ec9184fee2,NSW135103,[Royal] National Park.,12,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,
Persicaria prostrata,1895,Polygonaceae,1895,,N,Y,N,https://biocache.ala.org.au/occurrences/48ef9a81-3293-415f-987f-66e28ace230c,NSW667174,"[No precise locality given], National Park.",6,fertile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,
Rumex tenax,1895,Polygonaceae,1895,,N,Y,N,https://biocache.ala.org.au/occurrences/175142e9-619c-4248-bffb-012e5335f2dc,NSW150325,"[No precise locality given], [Royal] National Park.",11,fertile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,
Cassinia aculeata,1896,Asteraceae,1896,C,Y,Y,N,n/a,,,,,,,"Can't seen to find the record, probably would be unidentifiable either way though. UPDATE: record has been removed, likely was wrong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,
Juncus vaginatus,1896,Juncaceae,1896,,N,Y,N,https://biocache.ala.org.au/occurrences/ff4cb68f-a447-49e2-ba8b-bf58ab8d1645,NSW6832,Waterfall.,1,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,
Pomaderris elliptica,1896,Rhamnaceae,1896,,N,Y,N,https://biocache.ala.org.au/occurrences/2a2baecc-c03d-43f3-acbd-5db5a9216948,BRI AQ0109673,Port Hacking River.,9,"flowers, buds",,,"Recorded (potentially, needs ID) in 2024, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,
Podolepis jaceoides,1897,Asteraceae,1897,,N,Y,N,https://biocache.ala.org.au/occurrences/c6a861ac-b45d-4030-9ddd-3cf85d99be2c,NSW11961,Otford.,10,fertile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,
Carex pumila,1897,Cyperaceae,1897,,N,Y,N,https://biocache.ala.org.au/occurrences/fce5f90a-0053-42e3-8376-5604958dff3d,NSW658924,Otford.,,fertile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,
Acacia maidenii,1897,Fabaceae,1897,,N,Y,N,https://biocache.ala.org.au/occurrences/9e24810c-5318-48d8-babb-9a4f99b53823,NSW517289,Port Hacking River,3,"buds, flowers",,,"Found a handful of times, including on the Port Hacking River (2022)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,
Ajuga australis,1897,Lamiaceae,1897,,N,Y,N,https://biocache.ala.org.au/occurrences/c011221c-bf14-4315-bab0-0dfd7f8f0b28,NSW297335,Otford.,10,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,
Leptospermum morrisonii,1898,Myrtaceae,1898,,N,Y,N,https://biocache.ala.org.au/occurrences/3dba50c9-3331-457d-a963-297f325589c0,NSW511848,"Kangaroo Creek, [Royal] National Park.",12,"flowers, fruits, seed",,https://www.gaiagps.com/map/?loc=11.9/151.0254/-34.1273&pubLink=OIbdNYYAsoUEeZ4Ex0NfUie5&trackId=a7208582-e806-4b8e-9fd9-eac30fcad6f8,"Some locality from the 1800s!! Still, Kangaroo Creek is very long, so no. Was likely along Kangaroo Creek track, but that is also really long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,
Muehlenbeckia gracillima,1898,Polygonaceae,1898,,N,Y,N,https://biocache.ala.org.au/occurrences/927f6547-4d1c-42aa-b4a8-6d94b507f836,NSW667975,Otford.,12,fertile,,,"Coveny found in 1976. was only digitised in 2025 (I think)? also, not sure if in Royal or not. Either way, doesn't change re-findability as this sample also has poorly locality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,
Persoonia hirsuta,1898,Proteaceae,1898,,N,Y,N,https://biocache.ala.org.au/occurrences/4d7cec50-76e7-41c2-bc0e-aea7e9bd86b4,NSW21776,[Royal] National Park.,11,buds,,,"Recorded in 2022 on iNat, exact location hidden due to threatened species",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,
Lepidium pseudotasmanicum,1899,Brassicaceae,1899,,N,Y,N,https://biocache.ala.org.au/occurrences/57a1e93c-8c94-4aeb-a60f-99ed2dbafc9a,NSW136275,Otford.,1,"fruits, seed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,
Jacksonia scoparia,1899,Fabaceae,1899,,N,Y,N,https://biocache.ala.org.au/occurrences/8b9c1784-191c-4746-a145-5306e2a53bb2,NSW34188,Heathcote.,11,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,
Pennantia cunninghamii,1899,Pennantiaceae,1899,,N,Y,N,https://biocache.ala.org.au/occurrences/56b54704-fff0-4774-a2bd-9a7488363f1e,NSW147662,Otford.,1,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,
Cyanothamnus rigens,1901,Rutaceae,1907,O,N,Y,N,https://biocache.ala.org.au/occurrences/3881754c-bc49-4ac4-a5cd-6c388cdf1626,NSW385603,"Woronora River, Heathcote.",10,"flowers, buds",,,"Some taxonomic uncertainty here, seems to go by C. rigens and also Boronia rigens (ALA groups the two). Also 1901 sample has (I think) since been updated to 1907 (maybe some difficulty with handwriting on the sample. ALSO The Woronora River is not in Royal. Either way, not findable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,
Hemarthria uncinata,1902,Poaceae,1902,,N,Y,N,https://biocache.ala.org.au/occurrences/db650921-3f01-4a4c-bb22-858f785d706e,NSW12304,[Royal] National Park.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,
Adiantum silvaticum,1904,Pteridaceae,1904,,N,Y,N,https://biocache.ala.org.au/occurrences/9b850de8-f6a5-43df-8208-8808e2b0b7ee,NSW630553,"[No precise locality given], [Royal] National Park.",7,sterile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,
Isolepis fluitans,1905,Cyperaceae,1905,,N,Y,N,https://biocache.ala.org.au/occurrences/6b5fa698-7525-4bf5-a60b-e55f8169f014,NSW73226,"Audley, Royal National Park. ""In dam.""",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,
Dictymia brownii,1905,Polypodiaceae,1905,,N,Y,N,https://biocache.ala.org.au/occurrences/19452bc3-597e-4227-98e2-61ee23f36a4d,NSW632070,Otford.,6,fertile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,
Boronia barkeriana,1908,Rutaceae,1908,,N,Y,N,https://biocache.ala.org.au/occurrences/df200c91-324e-4c4c-b755-1da27eefdaac,NSW385404,Waterfall.,10,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,
Calomeria amaranthoides,1910,Asteraceae,1910,,N,Y,N,https://biocache.ala.org.au/occurrences/484b3f0c-048d-45ea-b5e7-f6877a253b0c,NSW587265,[Royal] National Park [?],2,fertile,,,"One from 1912 with coordinates in the Royal, but locality is ""Georges River.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,
Carex breviculmis,1911,Cyperaceae,1911,,N,Y,N,https://biocache.ala.org.au/occurrences/65ae1c0f-1341-4758-aaa9-290fdebf9a7f,NSW20800,Otford.,11,fertile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,
Bossiaea rhombifolia,1915,Fabaceae,1915,O,N,Y,N,https://biocache.ala.org.au/occurrences/c960249f-2971-418c-af95-f460b472d69c,NSW43840,Heathcote. Woronora River.,10,fruits,,,Woronora River not in Royal !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,
Pteris umbrosa,1915,Pteridaceae,1915,,N,Y,N,https://biocache.ala.org.au/occurrences/66b8dcf6-fe16-493d-8594-63900a28a522,MELUP010238a,Lilyvale,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,
Rubus nebulosus,1920,Rosaceae,1920,,N,Y,N,https://biocache.ala.org.au/occurrences/5d1da367-5ea5-4fdb-80b2-ac9f0676ede6,NSW295011,[Royal] National Park.,12,sterile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,
Epacris purpurascens,1921,Ericaceae,1921,,N,Y,N,https://biocache.ala.org.au/occurrences/c9264b9a-ddce-4b06-8bcd-ae8d368340a7,BRI AQ0187166,"Near Sutherland, C. 15M S of Sydney.",1,flowers,,,"I think Queensland Herbarium also has location amalgamation issues (similar to Wollongong Herbarium). Almost certainly, unable to verify. Also what is 15M S(south) of Sydney. probably wrongly digitised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,
Pultenaea polifolia,1921,Fabaceae,1921,,Y,Y,N,https://biocache.ala.org.au/occurrences/1d49f9c3-dc89-45a8-b65f-481c77c32078,NSW424891,"Lady Carrington Drive, [The Royal National Park].",4,fruits,,,Long road. Also I'm pretty sure there's a lot of taxonomic uncertainty with this species. Pultenaea in general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,
Micromyrtus ciliata,1923,Myrtaceae,1923,,N,Y,N,https://biocache.ala.org.au/occurrences/3d6f3fe8-0a64-4ab2-9d8a-deacc79fb6c2,NSW6992,Engadine.,9,"flowers, fruits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,
Euphrasia collina,1924,Scrophulariaceae,1924,,N,Y,N,https://biocache.ala.org.au/occurrences/f47e7231-6448-4b7d-9fc1-d1d500afd6cb,NSW231231,Engendine (Engadine?).,9,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,
Eucalyptus tereticornis,1925,Myrtaceae,1925,,Y,Y,N,https://biocache.ala.org.au/occurrences/79022ac3-a54f-4a6b-93ab-df4c742003ec,NSW311004,"[Royal] National Park, near salt water, Royal National Park.",4,buds,,,I am skeptical of their ID when they only collected leaves and one bud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
Asplenium polyodon,1927,Aspleniaceae,1927,,N,Y,N,https://biocache.ala.org.au/occurrences/4bdb3c6c-8cb3-4ef3-a373-f64784482259,CANB 2454.1,Waterfall.,7,,,,"Check this sample in the UNSW herbarium - not dated but could be useful. Locality is ascribed ""Bola Creek, Royal National Park."" UPDATE: still very likely too vague",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,
Poa tenera,1927,Poaceae,1927,,N,Y,N,https://biocache.ala.org.au/occurrences/479dcc1d-63bc-4b3c-9dbe-270a0ec5d9e4,MEL 2309765A,[Royal] National Park.,1,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,
Pomaderris lanigera,1927,Rhamnaceae,1905,,N,Y,N,https://biocache.ala.org.au/occurrences/e263dd07-dc74-4d25-90a7-6b2c712b3f35,NSW647532,Waterfall.,10,flowers,,,"1927 doesn't seem to exist, latest pre-1990 one is in 1905. Still not re-findable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,
Eragrostis trachycarpa,1928,Poaceae,1928,,N,Y,N,https://biocache.ala.org.au/occurrences/646f4ce3-8d7c-4a9a-a73d-81ff2d128548,MEL 2309074A,Heathcote.,2,fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,
Pomaderris ledifolia,1928,Rhamnaceae,1928,,N,Y,N,https://biocache.ala.org.au/occurrences/b8df0e90-a7bb-4fa6-b1d2-9fc59ef25c4c,CANB 5873.1,"Along banks of River, near Engadine.",8,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,
Rorippa gigantea,1929,Brassicaceae,1929,,N,Y,N,https://biocache.ala.org.au/occurrences/1e807d00-5267-45b8-81c0-a36adf07aad9,NSW137657,[Royal?] National Park.,10,"flowers, fruits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,
Setaria distans,1930,Poaceae,1930,,N,Y,N,https://biocache.ala.org.au/occurrences/dab3565e-3338-4ad8-9c63-4eec236741b7,NSW8958,"[Royal] National Park, Royal National Park.",3,fertile,,,Syn. Paspalidium distans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,
Digitaria parviflora,1931,Poaceae,1931,,N,Y,N,https://biocache.ala.org.au/occurrences/4b1afd52-754a-4f9d-a1bc-fb630c9e4f4b,NSW7593,"[Royal] National Park, Royal National Park. ""Sandstone, rather moist situation.""",2,fertile,,,a few recorded via BioNet Atlas this century e.g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,
Dillwynia sericea,1932,Fabaceae,1932,,N,Y,N,https://biocache.ala.org.au/occurrences/67238731-197d-4a2c-8a95-75a3f2749811,BRI AQ0230515,"National Park near Sydney, NSW. Shrub 1.5m; flowers yellow, rather showy.",8,flowers,,,"seen on the coast on iNat in 2020, 2022 (NEEDS ID)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,
Coronidium gunnianum,1933,Asteraceae,1933,,Y,Y,N,https://biocache.ala.org.au/occurrences/dc2fcb4b-9976-49f5-8f28-c772a4714055,NSW597221,Waterfall.,7,fertile,,,"""?approaching C. monticola"" taxonomic uncertainty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,
Styphelia longifolia,1933,Ericaceae,1933,,N,Y,N,https://biocache.ala.org.au/occurrences/0e84a41d-8442-40bc-8af8-ececcb7b357b,NSW265425,"Near Waterfall, [Royal] National Park.",7,buds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,
Trachymene incisa,1934,Araliaceae,1934,,N,Y,N,https://biocache.ala.org.au/occurrences/f520c187-d73e-4848-8ece-a893c44b078a,NSW443535,"National Park [Royal]. ""Brush forest.""",10,flowers,,,recorded in 2025 nearby on iNat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,
Hovea longifolia,1936,Fabaceae,1936,,N,Y,N,https://biocache.ala.org.au/occurrences/9325a966-9d35-4206-9ee6-113868d8a8bd,CANB 10369.1,National Park.,9,flowers,,,seen more recently via BioNet Atlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,
Pomaderris andromedifolia,1936,Rhamnaceae,1936,,N,Y,N,https://biocache.ala.org.au/occurrences/62197f8a-ee65-4a68-85f6-bcb5a24069eb,CANB 10464.1,National Park.,9,"flowers, buds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,
Microsorum pustulatum,1942,Polypodiaceae,1942,,N,Y,N,https://biocache.ala.org.au/occurrences/60e86fcf-2d2e-447a-8b11-d26083b5a679,NSW818473,"Waterfall, Royal National Park. ""Brush.""",5,sori,,,so many taxonomic synonyms. ALA uses Zealandia pustulata. Also seen recently on BioNet Atlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,
Pomaderris ferruginea,1942,Rhamnaceae,1942,,N,Y,N,https://biocache.ala.org.au/occurrences/47bb2e13-a416-4fcb-ab3c-f6cd8a33841d,NE 2591,Engadine,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,
Crassula sieberiana,1946,Crassulaceae,1946,,N,Y,N,https://biocache.ala.org.au/occurrences/2c750ed1-1ca0-410b-b4ce-f6ff59f81969,NSW143751,"Dwarf succulent herb to 6 cm. Frequent on rocks, early stage in sere, grows in mossy mats, Flowers white, minute. Flowers July. Hacking River, Royal National Park. ""On rocks in scrub forest.""",7,,,,found by e.g. Thomas in 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,
Dennstaedtia davallioides,1946,Dennstaedtiaceae,1946,,N,Y,N,https://biocache.ala.org.au/occurrences/143c0863-377b-4fa5-a055-c2fca43f23e4,NSW433484,"Waterfall, [Royal] National Park. ""In open grassy eucalypt forest with Pteridium aquilinum & Pellaea falcata.""",10,sterile,,,BioNet Atlas more recently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,
Geranium potentilloides,1946,Geraniaceae,1946,S,N,Y,N,https://biocache.ala.org.au/occurrences/b283ea93-751d-4ae1-9e32-d4e2eb19e549,NE 182,"Herb, whole plant, with 5 pink petals. Royal National Park, Burning Palms",1,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,
Apium prostratum,1947,Apiaceae,1947,S,N,Y,N,https://biocache.ala.org.au/occurrences/d04d24d8-6a57-4b86-a1d0-c96425fedfae,NE 3772,"Straggling herb. White flowers. Burning Palms, Royal NP",1,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,
Prostanthera violacea,1948,Lamiaceae,1948,,N,Y,N,https://biocache.ala.org.au/occurrences/c4d03228-b96e-47e8-9dec-d35d1659da62,NSW128454,[Royal] National Park.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,
Corybas hispidus,1948,Orchidaceae,1948,,N,Y,N,https://biocache.ala.org.au/occurrences/ea27575c-91dd-4a01-bc13-a35bcf01c95f,BRI AQ0070194,Bundeena.,5,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,
Genoplesium nudiscapum,1949,Orchidaceae,1949,,N,Y,N,https://biocache.ala.org.au/occurrences/2f7e0d4c-7d08-40c8-81d7-c14b8f9e5b7b,"CNS 132556.1
",Waterfall,4,flowers,,,also recorded by Coveny in 1972. Location info here is not good enough either though,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,
Astrotricha crassifolia,1950,Araliaceae,1950,,N,N,Y,https://biocache.ala.org.au/occurrences/7ce065a5-1236-465f-bd61-692b270fdaee,NSW17171,"Shrub 8 ft [2.4 m] high. Not common, flowers white, anthers mauve. Tomentum white, only slightly rusty. Hacking River, 1-2 miles [1.6-3.2 km], S of Audley (W bank), Royal National Park. ""Sandstone gully.""",9,flowers,,https://www.gaiagps.com/map/?loc=15.7/151.0522/-34.0883&pubLink=zdkcdZSeV8efjcyDbJMDmA8g&areaId=9ac22fce-4263-40c9-8e49-05bed09d14d3,"found in 2025 by Thomas (different location). Potentially findable, I have found a gully on the west bank of Hacking River",Grows in dry sclerophyll woodland on sandstone,"Shrub to 2.4 m high, root-suckering; branchlets with a dense, deep, firm indumentum",,sep - nov,"9, 10, 11",,,,"-34.08814, 151.05387",,N,8/12/2025,8,1,,77,730,https://www.gaiagps.com/map/?loc=18.0/151.0544/-34.0881&pubLink=YiqSj6Jo5PAu6O8g5fnU8um5&trackId=1bdba4d3447c9ec95012b40cc4d75044,-,,0,2 - poor,5 - great,"No luck, few things that I thought maybe but none had obtuse leaf apex. This species is listed as vulnerable, so perhaps not there anymore. Covered a decent amount of area, but naturally with a zig-zagging search, there are some areas within the gully that may have been missed. ",,"F, L",,,I,A,N,,N,,75,N,,,
Wahlenbergia stricta,1950,Campanulaceae,1950,,N,Y,N,https://biocache.ala.org.au/occurrences/83f9bb78-7aa9-4081-9307-dc43101c0f05,UNSWDB7248,"""Forest.""",10,,,,found by Thomas in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,
Thelymitra venosa,1950,Orchidaceae,1950,,N,Y,N,https://biocache.ala.org.au/occurrences/4cdb4e96-5995-4a27-84b0-1760b37b32d5,NSW16124,"Erect plant, 18-24 inches, flowers sky blue. Waterfall-Bulli road. ""Open swamp land. Sandstone.""",11,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,
Lepidosperma longitudinale,1951,Cyperaceae,1951,T,N,Y,N,https://biocache.ala.org.au/occurrences/f3038968-c7fb-4ca9-b1b4-74a0c1737157,NSW295543,"Marley to South-west Arm (Port Hacking), Royal National Park.",3,flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,
Cheilanthes distans,1951,Pteridaceae,1951,,N,Y,N,https://biocache.ala.org.au/occurrences/63438819-29b0-4368-aade-cc7ada3f06a5,UNSWDB18899,"""Moist rock surfaces.""",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,
Acacia elata,1952,Fabaceae,1952,,N,Y,N,https://biocache.ala.org.au/occurrences/15bc0539-6436-441b-bb9b-e767ce7136ac,NE 6769,"Tall shrub, vegetative material. Waterfall",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,
